Anno,Codice_Istat_Provincia,Provincia,Codice_Istat_Comune,Comune,Totale_residenti_al_31_12,Indice_di_Lesivita,Indice_di_Pericolosita,Indice_di_Mortalita
2014,15,MI,15130,MAGENTA,23482,119.74,0.00,0.00
2014,16,BG,16091,DALMINE,23304,139.81,0.00,0.00
2014,16,BG,16219,TREVIGLIO,29494,134.51,1.55,2.11
2014,108,MB,108024,GIUSSANO,25491,128.76,1.99,2.61
2014,108,MB,108033,MONZA,122367,145.06,0.41,0.60
2014,14,SO,14061,SONDRIO,21891,126.87,3.41,4.48
2014,15,MI,15206,SENAGO,21661,121.74,0.00,0.00
2014,20,MN,20066,VIADANA,20023,157.89,1.10,1.75
2014,108,MB,108012,BRUGHERIO,34315,155.86,1.14,1.80
2014,12,VA,12026,BUSTO ARSIZIO,82518,133.25,0.59,0.79
2014,15,MI,15027,BOLLATE,36264,144.14,0.00,0.00
2014,15,MI,15087,CORNAREDO,20355,120.00,0.00,0.00
2014,17,BS,17133,PALAZZOLO SULL'OGLIO,20088,117.74,1.35,1.61
2014,15,MI,15116,LAINATE,25704,140.00,0.00,0.00
2014,15,MI,15002,ABBIATEGRASSO,32409,124.07,1.47,1.85
2014,108,MB,108028,LISSONE,44870,152.20,0.00,0.00
2014,12,VA,12133,VARESE,80857,131.23,0.37,0.48
2014,15,MI,15070,CERNUSCO SUL NAVIGLIO,33009,140.24,0.00,0.00
2014,15,MI,15195,SAN GIULIANO MILANESE,37987,147.62,0.00,0.00
2014,15,MI,15166,PADERNO DUGNANO,46951,129.89,0.88,1.15
2016,108,MB,108040,SEVESO,23474,139.22,0.00,0.00
2014,15,MI,15171,PESCHIERA BORROMEO,23077,133.33,0.00,0.00
2014,18,PV,18182,VOGHERA,39400,141.24,0.00,0.00
2014,18,PV,18177,VIGEVANO,63442,140.09,0.61,0.86
2014,19,CR,19035,CREMA,34212,133.90,0.00,0.00
2014,15,MI,15157,NOVATE MILANESE,20195,124.71,0.93,1.18
2014,108,MB,108023,DESIO,41684,143.33,0.00,0.00
2014,108,MB,108040,SEVESO,23360,129.79,0.00,0.00
2014,13,CO,13041,CANTU',39995,132.48,0.64,0.85
2014,15,MI,15205,SEGRATE,34908,132.86,0.53,0.71
2014,17,BS,17029,BRESCIA,196058,134.15,0.49,0.67
2014,17,BS,17096,LUMEZZANE,22980,155.88,0.00,0.00
2015,15,MI,15209,SESTO SAN GIOVANNI,81608,120.54,0.32,0.39
2016,16,BG,16219,TREVIGLIO,29743,136.99,0.99,1.37
2016,108,MB,108033,MONZA,122955,135.58,0.43,0.59
2015,15,MI,15168,PARABIAGO,27692,132.41,0.00,0.00
2015,19,CR,19036,CREMONA,71901,133.91,0.92,1.24
